scenario,split_type,model,accuracy,accuracy,precision,precision,recall,recall,f1,f1,pr_auc,pr_auc
,,,mean,std,mean,std,mean,std,mean,std,mean,std
Single linear imputation,stratified,Isolation Forest best gamma=0.005,0.993417191451657,0.0019378638179585238,0.47651682761764746,0.13063426692884722,0.7701388888888889,0.2515419376719324,0.5782336991466207,0.15035009103295396,0.5980861819984226,0.2712058524485407
Single linear imputation,stratified,Isolation Forest best gamma=0.01,0.9902391405080463,0.0009130041389879256,0.40750796058883354,0.19324929021004608,0.9733796296296297,0.004910463758239896,0.5606459920233446,0.1930760567437571,0.43158982705983606,0.13998954977327155
Single linear imputation,stratified,Isolation Forest best gamma=0.02,0.9793330397909241,0.0007511631383025792,0.18835434563974993,0.1086667906041823,0.9056712962962963,0.023733908164826293,0.30374352286882134,0.14816307553047148,0.1517557132166526,0.08539649753777265
Single linear imputation,stratified,Isolation Forest best gamma=0.03,0.9696038756494544,0.00036660536158369375,0.10655921915778133,0.05566783671420638,0.8410493827160493,0.12504464509082086,0.1873455192706717,0.08985421230537949,0.08748568693607699,0.047050074236816966
Single linear imputation,stratified,Isolation Forest best gamma=0.05,0.9459829933231599,0.006784515876733983,0.07082436197628122,0.07326865745175146,0.5157407407407407,0.358862187796718,0.12073861478190144,0.12079122043155009,0.08051709871674671,0.0578140131788205
Single linear imputation,stratified,Majority baseline,0.9931693839706026,0.0044505018373857735,0.0,0.0,0.0,0.0,0.0,0.0,,
Single linear imputation,stratified,Night threshold,0.9649262887363854,0.012776431848383616,0.06071581765136063,0.09104753165639808,0.27001633986928103,0.39032884107165366,0.0983398800717774,0.14704629576164052,0.19562535129684042,0.3069741487375619
Single linear imputation,stratified,Random Forest,0.9999805541227249,3.1560288425122554e-05,0.9999319172113289,0.0002807125289772319,0.9974809368191722,0.002095965996577044,0.9987038201147915,0.0010370204175614054,0.9999966541092649,7.793218859789266e-06
Single seasonal-profile imputation,stratified,Gradient Boosting,0.9998068022665029,0.0005405173594671583,0.9914866778588094,0.027144848911775887,0.9613970588235294,0.1238242979686507,0.9729167819795317,0.0891346665925254,0.9607584372754732,0.1301496616745963
Single seasonal-profile imputation,stratified,Isolation Forest best gamma=0.005,0.9943472511275184,0.0008299428364369884,0.4758100073908077,0.11614376652086059,0.8732638888888888,0.17493961864118898,0.6124187320828623,0.12842943880840857,0.5736466147465976,0.31411346859994915
Single seasonal-profile imputation,stratified,Isolation Forest best gamma=0.01,0.9886969492076901,0.0009085318819669327,0.37619366902304696,0.1078996791378099,0.8225308641975309,0.13804883554617964,0.5041515595102711,0.09147167115808462,0.4003041230045264,0.07436504251233664
