accuracy,precision,recall,f1,pr_auc,model,household,scenario,split_type,leak_start,leak_end
0.9478027853611283,0.04314159292035398,0.40625,0.078,0.047197305947811415,Isolation Forest best gamma=0.05,hh-02,Single seasonal-profile imputation,stratified,2021-10-09 09:51:00+00:00,2021-10-11 09:50:00+00:00
0.9945651490180785,0.0,0.0,0.0,,Majority baseline,hh-02,Gap-adaptive imputation,stratified,2021-10-09 09:51:00+00:00,2021-10-11 09:50:00+00:00
0.943129065130147,0.0,0.0,0.0,0.038422585104707814,Night threshold,hh-02,Gap-adaptive imputation,stratified,2021-10-09 09:51:00+00:00,2021-10-11 09:50:00+00:00
0.9999874193264308,1.0,0.9976851851851852,0.9988412514484357,1.0,Random Forest,hh-02,Gap-adaptive imputation,stratified,2021-10-09 09:51:00+00:00,2021-10-11 09:50:00+00:00
0.9999811289896461,0.9988412514484357,0.9976851851851852,0.998262883613202,0.9999604980407029,Gradient Boosting,hh-02,Gap-adaptive imputation,stratified,2021-10-09 09:51:00+00:00,2021-10-11 09:50:00+00:00
0.9470164932630493,0.031718498327344816,0.2962962962962963,0.05730274202574147,0.04412986512818036,Isolation Forest best gamma=0.05,hh-02,Gap-adaptive imputation,stratified,2021-10-09 09:51:00+00:00,2021-10-11 09:50:00+00:00
0.9914628723877279,0.0,0.0,0.0,,Majority baseline,hh-03,No missingness/original,stratified,2021-07-21 04:17:00+00:00,2021-07-23 04:16:00+00:00
0.9739933797737266,0.21035386631716907,0.7430555555555556,0.32788559754851887,0.14666455013929935,Night threshold,hh-03,No missingness/original,stratified,2021-07-21 04:17:00+00:00,2021-07-23 04:16:00+00:00
0.9999901190652636,1.0,0.9988425925925926,0.9994209612044007,1.0,Random Forest,hh-03,No missingness/original,stratified,2021-07-21 04:17:00+00:00,2021-07-23 04:16:00+00:00
0.9999901190652636,1.0,0.9988425925925926,0.9994209612044007,0.998852473527329,Gradient Boosting,hh-03,No missingness/original,stratified,2021-07-21 04:17:00+00:00,2021-07-23 04:16:00+00:00
0.9939034632676251,0.5976284584980237,0.875,0.7101925786754345,0.46329720077874864,Isolation Forest best gamma=0.005,hh-03,No missingness/original,stratified,2021-07-21 04:17:00+00:00,2021-07-23 04:16:00+00:00
0.9914628723877279,0.0,0.0,0.0,,Majority baseline,hh-03,Single linear imputation,stratified,2021-07-21 04:17:00+00:00,2021-07-23 04:16:00+00:00
0.9739637369695173,0.21033693163231926,0.7442129629629629,0.32797755674572815,0.1465642352959183,Night threshold,hh-03,Single linear imputation,stratified,2021-07-21 04:17:00+00:00,2021-07-23 04:16:00+00:00
0.9999901190652636,1.0,0.9988425925925926,0.9994209612044007,1.0,Random Forest,hh-03,Single linear imputation,stratified,2021-07-21 04:17:00+00:00,2021-07-23 04:16:00+00:00
0.9999901190652636,1.0,0.9988425925925926,0.9994209612044007,0.998852473527329,Gradient Boosting,hh-03,Single linear imputation,stratified,2021-07-21 04:17:00+00:00,2021-07-23 04:16:00+00:00
0.9934983449434317,0.5825320512820513,0.8414351851851852,0.6884469696969697,0.4586832364239786,Isolation Forest best gamma=0.005,hh-03,Single linear imputation,stratified,2021-07-21 04:17:00+00:00,2021-07-23 04:16:00+00:00
0.9914628723877279,0.0,0.0,0.0,,Majority baseline,hh-03,Single forward-fill imputation,stratified,2021-07-21 04:17:00+00:00,2021-07-23 04:16:00+00:00
0.9739538560347809,0.20969855832241152,0.7407407407407407,0.3268641470888662,0.14651412982054593,Night threshold,hh-03,Single forward-fill imputation,stratified,2021-07-21 04:17:00+00:00,2021-07-23 04:16:00+00:00
0.9999901190652636,1.0,0.9988425925925926,0.9994209612044007,1.0,Random Forest,hh-03,Single forward-fill imputation,stratified,2021-07-21 04:17:00+00:00,2021-07-23 04:16:00+00:00
0.9999901190652636,1.0,0.9988425925925926,0.9994209612044007,0.9988527247154749,Gradient Boosting,hh-03,Single forward-fill imputation,stratified,2021-07-21 04:17:00+00:00,2021-07-23 04:16:00+00:00
0.993320488118176,0.580895008605852,0.78125,0.6663376110562685,0.5060404333289008,Isolation Forest best gamma=0.005,hh-03,Single forward-fill imputation,stratified,2021-07-21 04:17:00+00:00,2021-07-23 04:16:00+00:00
0.9914628723877279,0.0,0.0,0.0,,Majority baseline,hh-03,Single seasonal-profile imputation,stratified,2021-07-21 04:17:00+00:00,2021-07-23 04:16:00+00:00
0.9740329035126722,0.21157619359058208,0.7488425925925926,0.32993370729219784,0.14671475957989025,Night threshold,hh-03,Single seasonal-profile imputation,stratified,2021-07-21 04:17:00+00:00,2021-07-23 04:16:00+00:00
0.9999901190652636,1.0,0.9988425925925926,0.9994209612044007,1.0,Random Forest,hh-03,Single seasonal-profile imputation,stratified,2021-07-21 04:17:00+00:00,2021-07-23 04:16:00+00:00
0.9999901190652636,1.0,0.9988425925925926,0.9994209612044007,0.998852473527329,Gradient Boosting,hh-03,Single seasonal-profile imputation,stratified,2021-07-21 04:17:00+00:00,2021-07-23 04:16:00+00:00
0.993577392421323,0.5834633385335414,0.8657407407407407,0.6971109040074557,0.4892092180056316,Isolation Forest best gamma=0.005,hh-03,Single seasonal-profile imputation,stratified,2021-07-21 04:17:00+00:00,2021-07-23 04:16:00+00:00
0.9914628723877279,0.0,0.0,0.0,,Majority baseline,hh-03,Gap-adaptive imputation,stratified,2021-07-21 04:17:00+00:00,2021-07-23 04:16:00+00:00
0.9739637369695173,0.21033693163231926,0.7442129629629629,0.32797755674572815,0.14656423529591833,Night threshold,hh-03,Gap-adaptive imputation,stratified,2021-07-21 04:17:00+00:00,2021-07-23 04:16:00+00:00
0.9999901190652636,1.0,0.9988425925925926,0.9994209612044007,1.0,Random Forest,hh-03,Gap-adaptive imputation,stratified,2021-07-21 04:17:00+00:00,2021-07-23 04:16:00+00:00
0.9999901190652636,1.0,0.9988425925925926,0.9994209612044007,0.998852473527329,Gradient Boosting,hh-03,Gap-adaptive imputation,stratified,2021-07-21 04:17:00+00:00,2021-07-23 04:16:00+00:00
0.9941900103749814,0.6069767441860465,0.90625,0.7270194986072424,0.5236257915041838,Isolation Forest best gamma=0.005,hh-03,Gap-adaptive imputation,stratified,2021-07-21 04:17:00+00:00,2021-07-23 04:16:00+00:00
0.9962411739370658,0.0,0.0,0.0,,Majority baseline,hh-04,No missingness/original,stratified,2022-01-24 19:29:00+00:00,2022-01-26 19:28:00+00:00
0.9870007265323525,0.22429906542056074,1.0,0.366412213740458,1.0,Night threshold,hh-04,No missingness/original,stratified,2022-01-24 19:29:00+00:00,2022-01-26 19:28:00+00:00
1.0,1.0,1.0,1.0,1.0,Random Forest,hh-04,No missingness/original,stratified,2022-01-24 19:29:00+00:00,2022-01-26 19:28:00+00:00
1.0,1.0,1.0,1.0,1.0,Gradient Boosting,hh-04,No missingness/original,stratified,2022-01-24 19:29:00+00:00,2022-01-26 19:28:00+00:00
0.9950708912855272,0.43264897346019027,1.0,0.6039846207619713,0.8010110923366028,Isolation Forest best gamma=0.005,hh-04,No missingness/original,stratified,2022-01-24 19:29:00+00:00,2022-01-26 19:28:00+00:00
0.9962411739370658,0.0,0.0,0.0,,Majority baseline,hh-04,Single linear imputation,stratified,2022-01-24 19:29:00+00:00,2022-01-26 19:28:00+00:00
0.9870007265323525,0.22429906542056074,1.0,0.366412213740458,1.0,Night threshold,hh-04,Single linear imputation,stratified,2022-01-24 19:29:00+00:00,2022-01-26 19:28:00+00:00
