gap_class,n_samples,mae_lpm,rmse_lpm,household,scenario
medium,120,0.07728974517765906,0.2078820474918491,hh-02,Gap-adaptive imputation
micro,3,0.08523981806603398,0.09023023312873846,hh-02,Gap-adaptive imputation
small,15,0.3710982313536858,0.4232612166607692,hh-02,Gap-adaptive imputation
huge,1800,0.047522522298322184,0.05900869916092794,hh-03,Single linear imputation
large,720,0.05326805455166669,0.06559436533539886,hh-03,Single linear imputation
medium,120,0.05012762706684297,0.06119888672755909,hh-03,Single linear imputation
micro,3,0.013614704160078974,0.013820417625281651,hh-03,Single linear imputation
small,15,0.6792697749534914,0.8722756166987398,hh-03,Single linear imputation
huge,1800,0.062478967134040136,0.07395471992808081,hh-03,Single forward-fill imputation
large,720,0.08234134677032545,0.09279193952097116,hh-03,Single forward-fill imputation
medium,120,0.043986220297806654,0.055272964037658676,hh-03,Single forward-fill imputation
micro,3,0.013986084463351344,0.017043585267234318,hh-03,Single forward-fill imputation
small,15,1.8451085058537102,2.0961505265507623,hh-03,Single forward-fill imputation
huge,1800,0.1000773564893609,0.11075210192343046,hh-03,Single seasonal-profile imputation
large,720,0.1101978184975107,0.11902338535928461,hh-03,Single seasonal-profile imputation
medium,120,0.13464956653452434,0.1412178287630179,hh-03,Single seasonal-profile imputation
micro,3,0.029234813305713914,0.030814729418987868,hh-03,Single seasonal-profile imputation
small,15,0.7949157464737265,1.2550086355088723,hh-03,Single seasonal-profile imputation
huge,1800,0.09084114592454587,0.11474078810881248,hh-03,Gap-adaptive imputation
large,720,0.06856331997494951,0.08132684760190617,hh-03,Gap-adaptive imputation
medium,120,0.13464956653452434,0.1412178287630179,hh-03,Gap-adaptive imputation
micro,3,0.013614704160078974,0.013820417625281651,hh-03,Gap-adaptive imputation
small,15,0.6792697749534914,0.8722756166987398,hh-03,Gap-adaptive imputation
huge,1800,0.0035653533610603746,0.00445892720316209,hh-04,Single linear imputation
large,720,0.0019321661847959903,0.002643512323569508,hh-04,Single linear imputation
medium,120,0.0033114630411140416,0.004119989075401417,hh-04,Single linear imputation
micro,3,0.002086531554209545,0.0021897582311172503,hh-04,Single linear imputation
small,15,0.0024006127859695376,0.003725581897251118,hh-04,Single linear imputation
huge,1800,0.003451171648548547,0.004308681806382056,hh-04,Single forward-fill imputation
large,720,0.002369763797205621,0.0026792572930359653,hh-04,Single forward-fill imputation
medium,120,0.0037182126427533547,0.004605886345476994,hh-04,Single forward-fill imputation
micro,3,0.0031629031718774132,0.0033470350682781283,hh-04,Single forward-fill imputation
small,15,0.0024006127859695376,0.003725581897251118,hh-04,Single forward-fill imputation
huge,1800,0.12849286020667142,0.1285633403111918,hh-04,Single seasonal-profile imputation
large,720,0.004132793124813352,0.004478565181197961,hh-04,Single seasonal-profile imputation
medium,120,0.13457955665203838,0.1346319969377932,hh-04,Single seasonal-profile imputation
micro,3,0.005136255402894156,0.005251648011564634,hh-04,Single seasonal-profile imputation
small,15,0.002919906370841731,0.0033793142332275944,hh-04,Single seasonal-profile imputation
huge,1800,0.06356647571769922,0.06390072266308239,hh-04,Gap-adaptive imputation
large,720,0.05940892515618807,0.0596846489238837,hh-04,Gap-adaptive imputation
medium,120,0.13457955665203838,0.1346319969377932,hh-04,Gap-adaptive imputation
micro,3,0.002086531554209545,0.0021897582311172503,hh-04,Gap-adaptive imputation
small,15,0.0024006127859695376,0.003725581897251118,hh-04,Gap-adaptive imputation
huge,1800,0.3940792403379349,1.1267145046574212,hh-05,Single linear imputation
large,720,0.44401653339125935,1.2438793814982867,hh-05,Single linear imputation
medium,120,0.11065299265606504,0.14326499781777524,hh-05,Single linear imputation
micro,3,0.05432663552760253,0.05867947297855068,hh-05,Single linear imputation
small,15,0.15886914114159456,0.17890182354283993,hh-05,Single linear imputation
huge,1800,0.364758094018866,1.1562850511684581,hh-05,Single forward-fill imputation
large,720,0.44309325329891464,1.2699668441350425,hh-05,Single forward-fill imputation
medium,120,0.08449528582220069,0.15435592529182068,hh-05,Single forward-fill imputation
